QUARTER,DAY_OF_MONTH,DAY_OF_WEEK,FL_DATE,OP_UNIQUE_CARRIER,OP_CARRIER_AIRLINE_ID,OP_CARRIER,TAIL_NUM,OP_CARRIER_FL_NUM,ORIGIN_AIRPORT_ID,ORIGIN_AIRPORT_SEQ_ID,ORIGIN_CITY_MARKET_ID,ORIGIN,ORIGIN_CITY_NAME,ORIGIN_STATE_ABR,ORIGIN_STATE_FIPS,ORIGIN_STATE_NM,ORIGIN_WAC,DEST_AIRPORT_ID,DEST_AIRPORT_SEQ_ID,DEST_CITY_MARKET_ID,DEST,DEST_CITY_NAME,DEST_STATE_ABR,DEST_STATE_FIPS,DEST_STATE_NM,DEST_WAC,CRS_DEP_TIME,DEP_TIME,DEP_DELAY,DEP_DELAY_NEW,DEP_DEL15,DEP_DELAY_GROUP,DEP_TIME_BLK,TAXI_OUT,WHEELS_OFF,WHEELS_ON,TAXI_IN,CRS_ARR_TIME,ARR_TIME,ARR_DELAY,ARR_DELAY_NEW,ARR_DEL15,ARR_DELAY_GROUP,ARR_TIME_BLK,CANCELLED,DIVERTED,CRS_ELAPSED_TIME,ACTUAL_ELAPSED_TIME,AIR_TIME,FLIGHTS,DISTANCE,DISTANCE_GROUP,CARRIER_DELAY,WEATHER_DELAY,NAS_DELAY,SECURITY_DELAY,LATE_AIRCRAFT_DELAY,YEAR,MONTH,origin_airport_name,origin_station_name,origin_station_id,origin_iata_code,origin_icao,origin_type,origin_region,origin_station_lat,origin_station_lon,origin_airport_lat,origin_airport_lon,origin_station_dis,dest_airport_name,dest_station_name,dest_station_id,dest_iata_code,dest_icao,dest_type,dest_region,dest_station_lat,dest_station_lon,dest_airport_lat,dest_airport_lon,dest_station_dis,sched_depart_date_time,sched_depart_date_time_UTC,four_hours_prior_depart_UTC,two_hours_prior_depart_UTC,STATION,DATE,LATITUDE,LONGITUDE,ELEVATION,NAME,REPORT_TYPE,SOURCE,HourlyAltimeterSetting,HourlyDewPointTemperature,HourlyDryBulbTemperature,HourlyPrecipitation,HourlyPresentWeatherType,HourlyPressureChange,HourlyPressureTendency,HourlyRelativeHumidity,HourlySkyConditions,HourlySeaLevelPressure,HourlyStationPressure,HourlyVisibility,HourlyWetBulbTemperature,HourlyWindDirection,HourlyWindGustSpeed,HourlyWindSpeed,REM,WindEquipmentChangeDate,_row_desc
1,25,3,2015-02-25,AA,19805,AA,N3LXAA,1436,15304,1530402,33195,TPA,"Tampa, FL",FL,12,Florida,33,13303,1330303,32467,MIA,"Miami, FL",FL,12,Florida,33,735,728,-7,0,0,-1,0700-0759,11,739,823,6,835,829,-6,0,0,-1,0800-0859,0,0,60,61,44,1,204,1,null,null,null,null,null,2015,2,Tampa International Airport,TAMPA INTERNATIONAL AIRPORT,72211012842,TPA,KTPA,large_airport,US-FL,28,-82.5,28,-82.5,0,Miami International Airport,MIAMI INTERNATIONAL AIRPORT,72202012839,MIA,KMIA,large_airport,US-FL,25.8,-80.3,25.8,-80.3,0,2015-02-25T07:35:00Z,2015-02-25T12:35:00Z,2015-02-25T08:35:00Z,2015-02-25T10:35:00Z,72211012842,2015-02-25T08:50:00Z,27.96194,-82.5403,5.8,"TAMPA INTERNATIONAL AIRPORT, FL US",FM-16,7,29.97,57,61,null,BR:1 |s |,null,null,88,OVC:08 3,null,29.96,0.5,59,30,null,3,MET11802/25/15 08:50:02 SPECI KTPA 251350Z 03003KT 1/2SM R01L/5000VP6000FT BR OVC003 16/14 A2997 RMK AO2 SFC VIS 1 1/4 (LAM),null,1
1,8,7,2015-03-08,AA,19805,AA,N5CFAA,1533,10721,1072102,30721,BOS,"Boston, MA",MA,25,Massachusetts,13,13303,1330303,32467,MIA,"Miami, FL",FL,12,Florida,33,1705,1658,-7,0,0,-1,1700-1759,24,1722,2028,10,2045,2038,-7,0,0,-1,2000-2059,0,0,220,220,186,1,1258,6,null,null,null,null,null,2015,3,General Edward Lawrence Logan International Airport,GEN E L LOGAN INTERNATIONAL A,72509014739,BOS,KBOS,large_airport,US-MA,42.4,-71,42.4,-71,0,Miami International Airport,MIAMI INTERNATIONAL AIRPORT,72202012839,MIA,KMIA,large_airport,US-FL,25.8,-80.3,25.8,-80.3,0,2015-03-08T17:05:00Z,2015-03-08T21:05:00Z,2015-03-08T17:05:00Z,2015-03-08T19:05:00Z,72509014739,2015-03-08T17:54:00Z,42.3606,-71.0097,3.7,"BOSTON, MA US",FM-15,7,30.02,18,38,0,null,null,null,44,FEW:02 60,30.02,29.99,10,31,280,null,10,MET10003/08/15 17:54:02 METAR KBOS 082254Z 28009KT 10SM FEW060 03/M08 A3002 RMK AO2 SLP166 T00331078 (ETM),2006-10-05,1
1,6,5,2015-02-06,AA,19805,AA,N3JEAA,1682,14107,1410702,30466,PHX,"Phoenix, AZ",AZ,4,Arizona,81,14908,1490803,32575,SNA,"Santa Ana, CA",CA,6,California,91,1500,1454,-6,0,0,-1,1500-1559,23,1517,1518,4,1520,1522,2,2,0,0,1500-1559,0,0,80,88,61,1,338,2,null,null,null,null,null,2015,2,Phoenix Sky Harbor International Airport,PHOENIX SKY HARBOR INTL AIRPO,72278023183,PHX,KPHX,large_airport,US-AZ,33.4,-112,33.4,-112,0,John Wayne Airport-Orange County Airport,J. WAYNE APT-ORANGE CO APT,72297793184,SNA,KSNA,large_airport,US-CA,33.7,-117.9,33.7,-117.9,0,2015-02-06T15:00:00Z,2015-02-06T22:00:00Z,2015-02-06T18:00:00Z,2015-02-06T20:00:00Z,72278023183,2015-02-06T18:51:00Z,33.4277,-112.0038,337.4,"PHOENIX AIRPORT, AZ US",FM-15,7,30.05,46,74,0,null,null,null,37,CLR:00,30.02,28.87,10,58,240,null,5,MET09002/06/15 18:51:01 METAR KPHX 070151Z 24004KT 10SM CLR 23/08 A3005 RMK AO2 SLP166 T02330078,2007-04-03,1
1,19,4,2015-03-19,AS,19930,AS,N581AS,345,13796,1379603,32457,OAK,"Oakland, CA",CA,6,California,91,14747,1474703,30559,SEA,"Seattle, WA",WA,53,Washington,93,610,601,-9,0,0,-1,0600-0659,35,636,813,9,808,822,14,14,0,0,0800-0859,0,0,118,141,97,1,671,3,null,null,null,null,null,2015,3,Metropolitan Oakland International Airport,METRO OAKLAND INTL AIRPORT,72493023230,OAK,KOAK,large_airport,US-CA,37.7,-122.2,37.7,-122.2,0,Seattle Tacoma International Airport,SEATTLE-TACOMA INTERNATIONAL,72793024233,SEA,KSEA,large_airport,US-WA,47.4,-122.3,47.4,-122.3,0,2015-03-19T06:10:00Z,2015-03-19T13:10:00Z,2015-03-19T09:10:00Z,2015-03-19T11:10:00Z,72493023230,2015-03-19T09:53:00Z,37.7214,-122.2208,1.8,"OAKLAND METROPOLITAN, CA US",FM-15,7,30.08,52,60,0,null,-0.01,1,75,SCT:04 200,30.08,29.98,10,56,200,null,3,MET11603/19/15 09:53:02 METAR KOAK 191753Z 20003KT 10SM SCT200 16/11 A3008 RMK AO2 SLP186 T01560111 10156 20083 51003 (LM),null,1
1,1,4,2015-01-01,AS,19930,AS,N537AS,857,14679,1467903,33570,SAN,"San Diego, CA",CA,6,California,91,12982,1298202,32982,LIH,"Lihue, HI",HI,15,Hawaii,2,1015,1020,5,5,0,0,1000-1059,19,1039,1438,6,1437,1444,7,7,0,0,1400-1459,0,0,382,384,359,1,2676,11,null,null,null,null,null,2015,1,San Diego International Airport,SAN DIEGO INTERNATIONAL AIRPO,72290023188,SAN,KSAN,large_airport,US-CA,32.7,-117.2,32.7,-117.2,0,Lihue Airport,LIHUE AIRPORT,91165022536,LIH,PHLI,medium_airport,US-HI,22,-159.3,22,-159.3,0,2015-01-01T10:15:00Z,2015-01-01T18:15:00Z,2015-01-01T14:15:00Z,2015-01-01T16:15:00Z,72290023188,2015-01-01T14:51:00Z,32.7336,-117.1831,4.6,"SAN DIEGO INTERNATIONAL AIRPORT, CA US",FM-15,7,30.11,34,58,0,null,null,null,41,FEW:02 10,30.11,30.08,10,47,290,null,10,MET09801/01/15 14:51:02 METAR KSAN 012251Z 29009KT 10SM FEW010 14/01 A3011 RMK AO2 SLP196 T01440011 (WR),2007-08-23,1
1,1,7,2015-02-01,B6,20409,B6,N258JB,481,11278,1127802,30852,DCA,"Washington, DC",VA,51,Virginia,38,14635,1463502,31714,RSW,"Fort Myers, FL",FL,12,Florida,33,1500,1452,-8,0,0,-1,1500-1559,12,1504,1714,6,1740,1720,-20,0,0,-2,1700-1759,0,0,160,148,130,1,892,4,null,null,null,null,null,2015,2,Ronald Reagan Washington National Airport,RONALD REAGAN WASHINGTON NATL,72405013743,DCA,KDCA,large_airport,US-DC,38.8,-77,38.8,-77,0,Southwest Florida International Airport,SW FLORIDA INTN AIRPORT,72210812894,RSW,KRSW,large_airport,US-FL,26.5,-81.8,26.5,-81.8,0,2015-02-01T15:00:00Z,2015-02-01T20:00:00Z,2015-02-01T16:00:00Z,2015-02-01T18:00:00Z,72405013743,2015-02-01T16:00:00Z,38.8472,-77.03454,3,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",FM-12,4,null,19,42,null,null,0.08,6,40,74,30.11,30.06,9.94,34,180,null,5,SYN06472405 32866 81804 10056 21072 30178 40198 56027 92052 555 90121=,2006-09-26,1
1,27,5,2015-02-27,B6,20409,B6,N605JB,912,12889,1288903,32211,LAS,"Las Vegas, NV",NV,32,Nevada,85,12478,1247802,31703,JFK,"New York, NY",NY,36,New York,22,2329,2321,-8,0,0,-1,2300-2359,19,2340,646,5,710,651,-19,0,0,-2,0700-0759,0,0,281,270,246,1,2248,9,null,null,null,null,null,2015,2,McCarran International Airport,MCCARRAN INTERNATIONAL AIRPOR,72386023169,LAS,KLAS,large_airport,US-NV,36.1,-115.2,36.1,-115.2,0,John F Kennedy International Airport,JOHN F KENNEDY INTERNATIONAL,74486094789,JFK,KJFK,large_airport,US-NY,40.6,-73.8,40.6,-73.8,0,2015-02-27T23:29:00Z,2015-02-28T07:29:00Z,2015-02-28T03:29:00Z,2015-02-28T05:29:00Z,72386023169,2015-02-28T03:56:00Z,36.0719,-115.1634,664.5,"MCCARRAN INTERNATIONAL AIRPORT, NV US",FM-15,7,29.55,36,54,0,null,-0.04,1,51,BKN:07 65,29.52,27.29,10,45,210,null,16,MET11602/28/15 03:56:02 METAR KLAS 281156Z 21014KT 10SM BKN065 12/02 A2955 RMK AO2 SLP996 T01220022 10144 20122 51013 (GW),2007-04-25,1
1,21,3,2015-01-21,B6,20409,B6,N247JB,1316,11697,1169703,32467,FLL,"Fort Lauderdale, FL",FL,12,Florida,33,12451,1245102,31136,JAX,"Jacksonville, FL",FL,12,Florida,33,1855,1851,-4,0,0,-1,1800-1859,12,1903,1958,4,2013,2002,-11,0,0,-1,2000-2059,0,0,78,71,55,1,319,2,null,null,null,null,null,2015,1,Fort Lauderdale Hollywood International Airport,FT LAUD/HOLLYWOOD INTL APT,74783012849,FLL,KFLL,large_airport,US-FL,26.1,-80.2,26.1,-80.2,0,Jacksonville International Airport,JACKSONVILLE  INTERNATIONAL A,72206013889,JAX,KJAX,large_airport,US-FL,30.5,-81.7,30.5,-81.7,0,2015-01-21T18:55:00Z,2015-01-21T23:55:00Z,2015-01-21T19:55:00Z,2015-01-21T21:55:00Z,74783012849,2015-01-21T20:53:00Z,26.07875,-80.16217,3.4,"FORT LAUDERDALE INTERNATIONAL AIRPORT, FL US",FM-15,7,30.06,64,73,0,null,null,null,74,FEW:02 32,30.06,30.05,10,67,70,null,10,MET09301/21/15 20:53:01 METAR KFLL 220153Z 07009KT 10SM FEW032 23/18 A3006 RMK AO2 SLP180 T02280178,null,1
1,23,1,2015-03-23,DL,19790,DL,N937DN,104,10397,1039705,30397,ATL,"Atlanta, GA",GA,13,Georgia,34,10721,1072102,30721,BOS,"Boston, MA",MA,25,Massachusetts,13,730,727,-3,0,0,-1,0700-0759,20,747,944,7,1001,951,-10,0,0,-1,1000-1059,0,0,151,144,117,1,946,4,null,null,null,null,null,2015,3,Hartsfield Jackson Atlanta International Airport,HARTSFIELD-JACKSON ATLANTA IN,72219013874,ATL,KATL,large_airport,US-GA,33.6,-84.4,33.6,-84.4,0,General Edward Lawrence Logan International Airport,GEN E L LOGAN INTERNATIONAL A,72509014739,BOS,KBOS,large_airport,US-MA,42.4,-71,42.4,-71,0,2015-03-23T07:30:00Z,2015-03-23T11:30:00Z,2015-03-23T07:30:00Z,2015-03-23T09:30:00Z,72219013874,2015-03-23T07:52:00Z,33.6301,-84.4418,307.8,"ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT, GA US",FM-15,7,30,51,56,0,null,null,null,84,FEW:02 12 OVC:08 41,30,28.9,10,53,60,null,8,MET11403/23/15 07:52:02 METAR KATL 231252Z 06007KT 10SM FEW012 OVC041 13/11 A3000 RMK AO2 SLP159 VIRGA SW T01330106 (DB),2007-03-27,1
1,20,5,2015-03-20,DL,19790,DL,N970AT,673,11618,1161802,31703,EWR,"Newark, NJ",NJ,34,New Jersey,21,10397,1039705,30397,ATL,"Atlanta, GA",GA,13,Georgia,34,1415,1759,224,224,1,12,1400-1459,40,1839,2028,10,1645,2038,233,233,1,12,1600-1659,0,0,150,159,109,1,746,3,0,14,9,0,210,2015,3,Newark Liberty International Airport,NEWARK LIBERTY INTERNATIONAL,72502014734,EWR,KEWR,large_airport,US-NJ,40.7,-74.2,40.7,-74.2,0,Hartsfield Jackson Atlanta International Airport,HARTSFIELD-JACKSON ATLANTA IN,72219013874,ATL,KATL,large_airport,US-GA,33.6,-84.4,33.6,-84.4,0,2015-03-20T14:15:00Z,2015-03-20T18:15:00Z,2015-03-20T14:15:00Z,2015-03-20T16:15:00Z,72502014734,2015-03-20T14:51:00Z,40.6825,-74.1694,2.1,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",FM-15,7,30.23,32,33,0.06,-SN:03 BR:1 |SN |,null,null,96,BKN:07 4 OVC:08 10,30.23,30.2,0.75,33,60,null,6,MET13703/20/15 14:51:02 METAR KEWR 201951Z 06005KT 3/4SM R04R/3500V4500FT -SN BR BKN004 OVC010 01/00 A3023 RMK AO2 SLP236 P0007 T00060000 (MVC),2009-07-08,1
1,6,5,2015-03-06,DL,19790,DL,N994AT,2681,10721,1072102,30721,BOS,"Boston, MA",MA,25,Massachusetts,13,12953,1295302,31703,LGA,"New York, NY",NY,36,New York,22,1400,1402,2,2,0,0,1400-1459,32,1434,1536,9,1516,1545,29,29,1,1,1500-1559,0,0,76,103,62,1,184,1,0,0,29,0,0,2015,3,General Edward Lawrence Logan International Airport,GEN E L LOGAN INTERNATIONAL A,72509014739,BOS,KBOS,large_airport,US-MA,42.4,-71,42.4,-71,0,La Guardia Airport,LA GUARDIA AIRPORT,72503014732,LGA,KLGA,large_airport,US-NY,40.8,-73.9,40.8,-73.9,0,2015-03-06T14:00:00Z,2015-03-06T19:00:00Z,2015-03-06T15:00:00Z,2015-03-06T17:00:00Z,72509014739,2015-03-06T15:54:00Z,42.3606,-71.0097,3.7,"BOSTON, MA US",FM-15,7,30.41,8,23,0,null,0.05,8,53,FEW:02 40,30.4,30.38,10,19,130,null,14,MET10703/06/15 15:54:02 METAR KBOS 062054Z 13012KT 10SM FEW040 M05/M13 A3041 RMK AO2 SLP296 T10501133 58018 (HGC),2006-10-05,1
1,13,5,2015-03-13,EV,20366,EV,N13908,4368,11618,1161802,31703,EWR,"Newark, NJ",NJ,34,New Jersey,21,10529,1052904,30529,BDL,"Hartford, CT",CT,9,Connecticut,11,1459,1452,-7,0,0,-1,1400-1459,19,1511,1543,4,1553,1547,-6,0,0,-1,1500-1559,0,0,54,55,32,1,116,1,null,null,null,null,null,2015,3,Newark Liberty International Airport,NEWARK LIBERTY INTERNATIONAL,72502014734,EWR,KEWR,large_airport,US-NJ,40.7,-74.2,40.7,-74.2,0,Bradley International Airport,BRADLEY INTERNATIONAL AIRPORT,72508014740,BDL,KBDL,large_airport,US-CT,41.9,-72.7,41.9,-72.7,0,2015-03-13T14:59:00Z,2015-03-13T18:59:00Z,2015-03-13T14:59:00Z,2015-03-13T16:59:00Z,72502014734,2015-03-13T15:51:00Z,40.6825,-74.1694,2.1,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",FM-15,7,30.5,22,41,0,null,0.08,8,47,FEW:02 200 BKN:07 250,30.5,30.47,10,34,null,null,8,MET11303/13/15 15:51:02 METAR KEWR 132051Z 12007KT 10SM FEW200 BKN250 05/M06 A3050 RMK AO2 SLP327 T00501056 58027 (DHA),2009-07-08,1
1,24,6,2015-01-24,EV,20366,EV,N12540,4479,14193,1419304,33728,PNS,"Pensacola, FL",FL,12,Florida,33,12266,1226603,31453,IAH,"Houston, TX",TX,48,Texas,74,1138,1137,-1,0,0,-1,1100-1159,11,1148,1319,14,1329,1333,4,4,0,0,1300-1359,0,0,111,116,91,1,489,2,null,null,null,null,null,2015,1,Pensacola International Airport,PENSACOLA REGIONAL AIRPORT,72222313899,PNS,KPNS,medium_airport,US-FL,30.5,-87.2,30.5,-87.2,0,George Bush Intercontinental Houston Airport,G BUSH INTERCONTINENTAL AP/HO,72243012960,IAH,KIAH,large_airport,US-TX,30,-95.4,30,-95.4,0,2015-01-24T11:38:00Z,2015-01-24T17:38:00Z,2015-01-24T13:38:00Z,2015-01-24T15:38:00Z,72222313899,2015-01-24T13:53:00Z,30.47806,-87.18694,34.1,"PENSACOLA REGIONAL AIRPORT, FL US",FM-15,7,30.03,29,56,0,null,null,null,36,CLR:00,30.04,29.9,10,44,280,null,11,MET09601/24/15 13:53:02 METAR KPNS 241953Z 28010KT 10SM CLR 13/M02 A3003 RMK AO2 SLP172 T01331017 (DD),null,1
1,1,7,2015-03-01,EV,20366,EV,N197PQ,5098,10397,1039705,30397,ATL,"Atlanta, GA",GA,13,Georgia,34,10208,1020803,30208,AGS,"Augusta, GA",GA,13,Georgia,34,1540,1640,60,60,1,4,1500-1559,23,1703,1733,4,1632,1737,65,65,1,4,1600-1659,0,0,52,57,30,1,143,1,32,0,5,0,28,2015,3,Hartsfield Jackson Atlanta International Airport,HARTSFIELD-JACKSON ATLANTA IN,72219013874,ATL,KATL,large_airport,US-GA,33.6,-84.4,33.6,-84.4,0,Augusta Regional At Bush Field,AUGUSTA REGIONAL AT BUSH FIEL,72218003820,AGS,KAGS,large_airport,US-GA,33.4,-82,33.4,-82,0,2015-03-01T15:40:00Z,2015-03-01T20:40:00Z,2015-03-01T16:40:00Z,2015-03-01T18:40:00Z,72219013874,2015-03-01T16:52:00Z,33.6301,-84.4418,307.8,"ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT, GA US",FM-15,7,30.39,42,46,0,BR:1 ||,null,null,86,OVC:08 5,30.4,29.28,1.5,44,50,null,3,MET12903/01/15 16:52:02 METAR KATL 012152Z 05003KT 1 1/2SM BR OVC005 08/06 A3039 RMK AO2 SFC VIS 5 DZE2059 SLP296 P0000 T00780056 (JRN),2007-03-27,1
1,3,2,2015-02-03,EV,20366,EV,N750EV,5613,10397,1039705,30397,ATL,"Atlanta, GA",GA,13,Georgia,34,14307,1430702,30721,PVD,"Providence, RI",RI,44,Rhode Island,15,1506,1527,21,21,1,1,1500-1559,12,1539,1732,4,1722,1736,14,14,0,0,1700-1759,0,0,136,129,113,1,903,4,null,null,null,null,null,2015,2,Hartsfield Jackson Atlanta International Airport,HARTSFIELD-JACKSON ATLANTA IN,72219013874,ATL,KATL,large_airport,US-GA,33.6,-84.4,33.6,-84.4,0,Theodore Francis Green State Airport,THEODORE F GREEN STATE AIRPOR,72507014765,PVD,KPVD,large_airport,US-RI,41.7,-71.4,41.7,-71.4,0,2015-02-03T15:06:00Z,2015-02-03T20:06:00Z,2015-02-03T16:06:00Z,2015-02-03T18:06:00Z,72219013874,2015-02-03T16:52:00Z,33.6301,-84.4418,307.8,"ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT, GA US",FM-15,7,30.27,15,49,0,null,null,null,26,BKN:07 250,30.29,29.16,10,37,0,null,0,MET10002/03/15 16:52:02 METAR KATL 032152Z 00000KT 10SM BKN250 09/M09 A3027 RMK AO2 SLP256 T00941094 (CJL),2007-03-27,1
1,23,1,2015-03-23,EV,20366,EV,N14143,5660,12266,1226603,31453,IAH,"Houston, TX",TX,48,Texas,74,12206,1220603,32206,HRL,"Harlingen/San Benito, TX",TX,48,Texas,74,906,901,-5,0,0,-1,0900-0959,9,910,958,3,1025,1001,-24,0,0,-2,1000-1059,0,0,79,60,48,1,295,2,null,null,null,null,null,2015,3,George Bush Intercontinental Houston Airport,G BUSH INTERCONTINENTAL AP/HO,72243012960,IAH,KIAH,large_airport,US-TX,30,-95.4,30,-95.4,0,Valley International Airport,VALLEY INTERNATIONAL ARPT,72250512904,HRL,KHRL,medium_airport,US-TX,26.2,-97.7,26.2,-97.7,0,2015-03-23T09:06:00Z,2015-03-23T14:06:00Z,2015-03-23T10:06:00Z,2015-03-23T12:06:00Z,72243012960,2015-03-23T10:53:00Z,29.98,-95.36,29,"HOUSTON INTERCONTINENTAL AIRPORT, TX US",FM-15,7,30.12,55,71,0,null,null,null,57,CLR:00,30.12,30.01,10,62,40,null,9,MET09503/23/15 10:53:02 METAR KIAH 231653Z 04008KT 10SM CLR 22/13 A3012 RMK AO2 SLP200 T02170128 (MM),2009-06-11,1
1,3,2,2015-02-03,F9,20436,F9,N920FR,1322,12264,1226402,30852,IAD,"Washington, DC",VA,51,Virginia,38,11697,1169703,32467,FLL,"Fort Lauderdale, FL",FL,12,Florida,33,1650,1739,49,49,1,3,1600-1659,10,1749,2011,3,1940,2014,34,34,1,2,1900-1959,0,0,170,155,142,1,901,4,1,0,0,0,33,2015,2,Washington Dulles International Airport,WASHINGTON DULLES INTERNATION,72403093738,IAD,KIAD,large_airport,US-DC,38.9,-77.4,38.9,-77.4,0,Fort Lauderdale Hollywood International Airport,FT LAUD/HOLLYWOOD INTL APT,74783012849,FLL,KFLL,large_airport,US-FL,26.1,-80.2,26.1,-80.2,0,2015-02-03T16:50:00Z,2015-02-03T21:50:00Z,2015-02-03T17:50:00Z,2015-02-03T19:50:00Z,72403093738,2015-02-03T17:52:00Z,38.93486,-77.44728,88.4,"WASHINGTON DULLES INTERNATIONAL AIRPORT, VA US",FM-15,7,30.29,7,31,0,null,null,null,36,FEW:02 200,30.29,29.94,10,24,160,null,5,MET10002/03/15 17:52:02 METAR KIAD 032252Z 16004KT 10SM FEW200 M01/M14 A3029 RMK AO2 SLP258 T10061139 (JH),2006-10-03,1
1,20,5,2015-02-20,HA,19690,HA,N476HA,387,12758,1275803,32758,KOA,"Kona, HI",HI,15,Hawaii,2,12173,1217302,32134,HNL,"Honolulu, HI",HI,15,Hawaii,2,1920,1930,10,10,0,0,1900-1959,12,1942,2012,9,2003,2021,18,18,1,1,2000-2059,0,0,43,51,30,1,163,1,8,0,0,0,10,2015,2,Ellison Onizuka Kona International At Keahole Airport,KONA INTL AT KEAHOLE ARPT,91197521510,KOA,PHKO,medium_airport,US-HI,19.7,-156,19.7,-156,0,Daniel K Inouye International Airport,HONOLULU INTERNATIONAL AIRPOR,91182022521,HNL,PHNL,large_airport,US-HI,21.3,-157.9,21.3,-157.9,0,2015-02-20T19:20:00Z,2015-02-21T05:20:00Z,2015-02-21T01:20:00Z,2015-02-21T03:20:00Z,91197521510,2015-02-21T01:53:00Z,19.73556,-156.04889,13.1,"KAILUA KONA KE AHOLE AIRPORT, HI US",FM-15,7,29.94,64,74,0,null,0.02,8,71,BKN:07 110,29.94,29.89,10,68,30,null,6,MET11602/21/15 01:53:02 METAR PHKO 211153Z 03005KT 10SM BKN110 23/18 A2994 RMK AO2 SLP138 T02330178 10250 20228 58007 TSNO,2009-05-08,1
1,1,7,2015-02-01,HA,19690,HA,N491HA,391,12402,1240203,32402,ITO,"Hilo, HI",HI,15,Hawaii,2,12173,1217302,32134,HNL,"Honolulu, HI",HI,15,Hawaii,2,2034,2027,-7,0,0,-1,2000-2059,7,2034,2110,6,2123,2116,-7,0,0,-1,2100-2159,0,0,49,49,36,1,216,1,null,null,null,null,null,2015,2,Hilo International Airport,HILO INTERNATIONAL AIRPORT,91285021504,ITO,PHTO,medium_airport,US-HI,19.7,-155.1,19.7,-155.1,0,Daniel K Inouye International Airport,HONOLULU INTERNATIONAL AIRPOR,91182022521,HNL,PHNL,large_airport,US-HI,21.3,-157.9,21.3,-157.9,0,2015-02-01T20:34:00Z,2015-02-02T06:34:00Z,2015-02-02T02:34:00Z,2015-02-02T04:34:00Z,91285021504,2015-02-02T02:53:00Z,19.7191,-155.053,11.6,"HILO INTERNATIONAL AIRPORT 87, HI US",FM-15,7,29.92,57,65,0,null,null,null,76,FEW:02 25,29.91,29.88,10,60,220,null,7,MET09902/02/15 02:53:02 METAR PHTO 021253Z 22006KT 10SM FEW025 18/14 A2992 RMK AO2 SLP129 T01830139 (JNS),null,1
1,7,6,2015-02-07,NK,20416,NK,N637NK,408,13796,1379603,32457,OAK,"Oakland, CA",CA,6,California,91,11298,1129803,30194,DFW,"Dallas/Fort Worth, TX",TX,48,Texas,74,1925,1914,-11,0,0,-1,1900-1959,8,1922,3,7,42,10,-32,0,0,-2,0001-0559,0,0,197,176,161,1,1457,6,null,null,null,null,null,2015,2,Metropolitan Oakland International Airport,METRO OAKLAND INTL AIRPORT,72493023230,OAK,KOAK,large_airport,US-CA,37.7,-122.2,37.7,-122.2,0,Dallas Fort Worth International Airport,DALLAS/FT WORTH INTERNATIONAL,72259003927,DFW,KDFW,large_airport,US-TX,32.9,-97,32.9,-97,0,2015-02-07T19:25:00Z,2015-02-08T03:25:00Z,2015-02-07T23:25:00Z,2015-02-08T01:25:00Z,72493023230,2015-02-07T23:53:00Z,37.7214,-122.2208,1.8,"OAKLAND METROPOLITAN, CA US",FM-15,7,30.04,52,54,0,null,null,null,93,FEW:02 40 SCT:04 120,30.04,29.94,10,53,100,null,5,MET11002/07/15 23:53:02 METAR KOAK 080753Z 10004KT 10SM FEW040 SCT120 12/11 A3004 RMK AO2 SLP172 T01220111 401780122,null,1
1,24,2,2015-03-24,OO,20304,OO,N438SW,4584,14457,1445702,34457,RAP,"Rapid City, SD",SD,46,South Dakota,67,13487,1348702,31650,MSP,"Minneapolis, MN",MN,27,Minnesota,63,1150,1143,-7,0,0,-1,1100-1159,13,1156,1410,4,1428,1414,-14,0,0,-1,1400-1459,0,0,98,91,74,1,489,2,null,null,null,null,null,2015,3,Rapid City Regional Airport,RAPID CITY REGIONAL ARPT,72662024090,RAP,KRAP,medium_airport,US-SD,44,-103.1,44,-103.1,0,Minneapolis-St Paul International/Wold-Chamberlain Airport,MINNEAPOLIS-ST PAUL INTERNATI,72658014922,MSP,KMSP,large_airport,US-MN,44.9,-93.2,44.9,-93.2,0,2015-03-24T11:50:00Z,2015-03-24T17:50:00Z,2015-03-24T13:50:00Z,2015-03-24T15:50:00Z,72662024090,2015-03-24T13:52:00Z,44.04584,-103.05443,963.2,"RAPID CITY REGIONAL AIRPORT, SD US",FM-15,7,29.76,25,56,0,null,0.02,6,30,BKN:07 80 BKN:07 100,29.77,26.5,10,42,300,25,20,MET13303/24/15 13:52:02 METAR KRAP 242052Z 30017G22KT 10SM BKN080 BKN100 13/M04 A2976 RMK AO2 PK WND 27029/2026 SLP080 T01331039 56006 (MO),null,1
